age,gender,dress,wind_speed,BMI,height,RH,in_car_temperature,PMV,PPD,M,need_temperature,The_wind_type,wind_scale,direction
青年,女,冬装,低风,18.4,1.66,59.4,10.5,-3.7,100,1.055951332,25,暖气,大风,中
老年,男,夏装,大风,16.3,1.68,20.5,46.2,13.02,100,0.954985695,18.5,冷气,大风,中
青年,男,春秋装,无风,17.5,1.62,71.2,16.1,-2.02,77.6,1.138391937,23.5,暖气,低风,下
少年,男,夏装,低风,30.6,1.82,42.6,34.4,2.99,99.1,1.285376013,20.5,冷气,中风,上
少年,男,夏装,低风,33,1.7,53.4,24.7,-0.65,13.9,1.292750923,无,无,无,无
青年,女,春秋装,无风,15.6,1.74,66.5,15.8,-2.37,90.2,1.038809521,24,暖气,低风,下
老年,女,夏装,大风,27.4,1.61,26.9,49.3,15.86,100,0.961553355,18.5,冷气,大风,中
少年,女,夏装,中风,18.7,1.6,49.8,26.7,-0.72,16,1.124727546,无,无,无,无
青年,女,春秋装,无风,29.5,1.52,64.5,17.3,-1.84,69.1,1.083531539,23.5,暖气,低风,下
青年,男,冬装,无风,25,1.64,73.3,12.1,-2.09,80.6,1.190298337,22.5,暖气,低风,下
老年,男,春秋装,中风,19.7,1.78,57.3,20,-3.2,99.7,1.013461419,21.5,暖气,大风,中
童年,男,春秋装,无风,25.7,1.54,68.9,15.4,-1.88,71.1,1.29119112,23,暖气,低风,下
老年,男,夏装,无风,16,1.67,32.1,37.9,4.59,100,0.94915001,19.5,冷气,大风,中
中年,女,春秋装,低风,21.8,1.62,58.1,19.2,-2.87,98.4,0.991055165,21.5,暖气,中风,上
少年,男,夏装,大风,21.7,1.6,17.9,45.3,10.03,100,1.244506722,18.5,冷气,大风,中
老年,男,冬装,大风,18.1,1.82,70.4,3.2,-6.17,100,1.003781963,24.5,暖气,大风,中
童年,男,夏装,中风,26.8,1.48,28.1,35.7,3.63,100,1.297855552,19.5,冷气,大风,中
中年,女,夏装,低风,15.5,1.69,53.6,31.2,1.32,41.4,0.970933246,20.5,通风,低风,下
老年,男,冬装,中风,17.6,1.83,58.1,14.9,-3.26,99.8,1.000019446,22.5,暖气,大风,中
青年,女,冬装,中风,15.9,1.69,67,10.8,-4.28,100,1.049422922,22.5,暖气,大风,中
少年,男,春秋装,大风,23.7,1.74,58,21.5,-2.06,79.5,1.254274003,21.5,暖气,低风,下
童年,男,春秋装,中风,31.1,1.58,66.4,19.8,-2.13,82.4,1.30916966,21.5,暖气,低风,下
童年,男,冬装,低风,15.5,1.48,66.6,3.6,-3.84,100,1.247422385,24.5,暖气,大风,中
童年,男,冬装,大风,20.6,1.46,55.6,13.8,-2.86,98.3,1.274073647,22.5,暖气,中风,上
少年,男,夏装,中风,32,1.71,34.7,35.4,3.55,100,1.289258229,19.5,冷气,大风,中
中年,女,春秋装,无风,25.2,1.72,64.7,17.5,-2.13,82.2,0.981431931,24,暖气,低风,下
青年,男,冬装,大风,24.6,1.82,71.6,8.7,-3.66,100,1.199442358,23.5,暖气,大风,中
青年,男,夏装,中风,24.6,1.8,31.4,25.3,-1.33,42,1.198193496,无,无,无,无
童年,男,春秋装,无风,20.1,1.65,77.2,17.1,-1.48,49.9,1.262724338,无,无,无,无
老年,女,春秋装,大风,25.9,1.74,46.7,20.2,-4.2,100,0.946223197,21.5,暖气,大风,中
少年,男,冬装,中风,31.6,1.6,50,7.5,-3.4,99.9,1.287110527,23.5,暖气,大风,中
童年,女,冬装,低风,28.2,1.47,50.3,13.7,-2.48,93,1.167442592,24.5,暖气,低风,下
青年,男,冬装,中风,16.2,1.78,62,4.3,-4.75,100,1.137315308,24.5,暖气,大风,中
少年,女,冬装,低风,26,1.67,66.7,14.3,-2.48,93.1,1.099090376,24.5,暖气,低风,下
老年,男,冬装,大风,15.1,1.76,65.3,14.2,-4.18,100,0.956648729,22.5,暖气,大风,中
老年,男,冬装,中风,29.3,1.71,61.9,10.8,-4.13,100,1.083782804,22.5,暖气,大风,中
青年,女,冬装,大风,25.1,1.52,70.7,4.1,-5.41,100,1.085832435,24.5,暖气,大风,中
少年,女,夏装,无风,16.2,1.53,50.3,30.9,1.65,59,1.150326734,20.5,通风,低风,下
青年,男,春秋装,低风,29.8,1.8,58.1,18.5,-2.24,86.4,1.226489476,25.5,暖气,低风,下
老年,男,冬装,无风,18.1,1.78,61.4,10.3,-3.16,99.6,0.99625577,23.5,暖气,大风,中
童年,男,冬装,低风,26.3,1.4,66.7,14.4,-1.88,71.3,1.300518278,23.5,暖气,低风,下
青年,男,夏装,中风,25.8,1.83,18.5,47.2,10.5,100,1.207085217,18.5,冷气,大风,中
少年,男,冬装,低风,18.8,1.83,54.8,10.4,-3.07,99.4,1.227765213,24,暖气,大风,中
中年,女,夏装,大风,24.8,1.56,57.5,23.2,-3.5,100,1.003620395,21.5,暖气,大风,中
少年,男,春秋装,中风,20.3,1.75,60.3,18.6,-2.83,98.1,1.236375786,21.5,暖气,中风,上
中年,男,春秋装,大风,25.7,1.68,66.2,19,-3.64,100,1.101936886,21.5,暖气,大风,中
童年,男,冬装,大风,27,1.41,53.4,11.7,-3.33,99.9,1.30233023,22.5,暖气,大风,中
中年,男,夏装,无风,24.5,1.6,48.1,30.8,1.58,55,1.079893776,20.5,通风,低风,下
青年,女,夏装,大风,20.8,1.56,34,33.7,2.55,94.4,1.078323364,20.5,冷气,中风,上
青年,男,春秋装,大风,16.8,1.71,62.1,15.1,-4.43,100,1.138201803,21.5,暖气,大风,中
少年,女,冬装,大风,18.6,1.58,72.6,9.5,-3.73,100,1.13063084,23.5,暖气,大风,中
少年,女,冬装,大风,19.2,1.6,61.2,8.9,-3.95,100,1.124026647,23.5,暖气,大风,中
老年,男,冬装,无风,17.6,1.76,78.4,5.8,-3.67,100,0.986742565,23,暖气,大风,中
老年,女,夏装,低风,18.1,1.63,40.2,35.4,3.7,100,0.941988309,19.5,冷气,大风,中
少年,男,冬装,中风,31.1,1.7,73.2,14.8,-2.23,85.8,1.285825757,22.5,暖气,低风,下
少年,男,夏装,低风,32.7,1.65,19.6,44.1,7.22,100,1.291265753,18.5,冷气,大风,中
青年,男,冬装,无风,34.2,1.65,58.1,2.3,-3.45,99.9,1.237052754,23.5,暖气,大风,中
中年,男,春秋装,无风,24,1.67,71,16.2,-2.11,81.3,1.087354246,23.5,暖气,低风,下
老年,女,夏装,无风,19.5,1.51,49.1,33,2.52,93.8,0.962184956,20.5,冷气,中风,上
青年,女,冬装,低风,17.2,1.59,55.9,8.2,-3.53,100,1.072518655,24.5,暖气,大风,中
中年,女,夏装,大风,32.2,1.55,65.1,24.5,-2.62,95.6,1.010606217,21.5,暖气,中风,上
青年,男,冬装,无风,27.7,1.77,56.4,9.3,-2.21,85.3,1.213793915,22.5,暖气,低风,下
老年,女,夏装,低风,20,1.63,32.7,41.6,7.53,100,0.946055913,18.5,冷气,大风,中
少年,男,春秋装,中风,17.5,1.78,74.3,19.9,-2.33,89.2,1.219539355,21.5,暖气,低风,下
中年,男,春秋装,中风,26,1.63,66.2,17.1,-3.41,99.9,1.096258813,21.5,暖气,大风,中
青年,男,春秋装,无风,16.6,1.71,71.1,18.3,-1.42,46.8,1.136567526,无,无,无,无
童年,女,春秋装,大风,18.6,1.64,64.8,20.4,-2.9,98.6,1.132991963,21.5,暖气,中风,上
童年,女,夏装,大风,24.6,1.48,28.5,41.2,7.77,100,1.170987123,18.5,冷气,大风,中
老年,女,冬装,低风,25.2,1.56,59.9,2.6,-5.63,100,0.964121446,26.5,暖气,大风,中
老年,女,春秋装,低风,33.3,1.6,61,18.2,-2.94,98.8,0.970747818,26,暖气,中风,上
童年,女,夏装,低风,16.8,1.46,19.7,47.4,9.25,100,1.196343166,18.5,冷气,大风,中
少年,男,春秋装,大风,32.5,1.65,77.2,18.6,-2.98,99,1.290556532,21.5,暖气,中风,上
青年,女,夏装,大风,20.5,1.51,50.3,32.7,2,76.8,1.091284539,20.5,通风,低风,下
少年,女,冬装,低风,19.2,1.69,77.4,6.6,-3.74,100,1.100459596,24,暖气,大风,中
少年,女,冬装,大风,20.3,1.6,69.6,13.3,-3.51,100,1.122531582,22.5,暖气,大风,中
少年,男,冬装,中风,23.6,1.74,57.5,12.6,-2.95,98.9,1.253780458,22.5,暖气,中风,上
中年,女,夏装,中风,20,1.73,24.2,42.2,8.71,100,0.972660542,18.5,冷气,大风,中
少年,男,夏装,低风,17.8,1.63,51.3,23.6,-1.24,37,1.222497607,无,无,无,无
青年,女,夏装,中风,17.5,1.61,40.8,37.8,5.47,100,1.06753025,19.5,冷气,大风,中
中年,女,冬装,大风,16.4,1.67,81.5,12,-4.71,100,0.975698798,22.5,暖气,大风,中
青年,男,春秋装,无风,31.2,1.7,59.4,18.8,-1.43,47.2,1.226834788,无,无,无,无
少年,女,春秋装,无风,24.6,1.61,55.6,18.8,-1.67,60,1.114696765,24.5,暖气,低风,下
童年,男,春秋装,无风,28.6,1.47,74.7,18,-1.19,34.8,1.304623053,无,无,无,无
中年,男,冬装,中风,28.2,1.76,77.3,4.5,-4.69,100,1.131375002,24.5,暖气,大风,中
童年,女,夏装,低风,34.6,1.53,59.5,24.5,-1.03,27.3,1.140108872,无,无,无,无
少年,男,冬装,大风,20.4,1.84,66.2,5.5,-4.31,100,1.23732403,23.5,暖气,大风,中
少年,女,春秋装,低风,16.6,1.57,45.7,16.9,-2.72,97,1.136850141,25.5,暖气,中风,上
老年,男,夏装,中风,18.7,1.75,23.6,49.8,14.2,100,0.997013016,18.5,冷气,大风,中
少年,女,夏装,大风,32.9,1.56,35.1,28.2,-0.4,8.3,1.118396253,无,无,无,无
老年,女,冬装,大风,16.7,1.65,66.3,13.3,-4.7,100,0.936082381,22.5,暖气,大风,中
青年,男,冬装,大风,26,1.77,59.1,9.1,-3.57,100,1.204450232,23.5,暖气,大风,中
青年,女,夏装,低风,27,1.52,35.5,40.1,6.14,100,1.084798244,18.5,冷气,大风,中
童年,女,冬装,中风,18.8,1.65,72.3,0.2,-5.78,100,1.129884398,24.5,暖气,大风,中
童年,男,夏装,无风,22.9,1.6,50.6,29.2,1.27,38.7,1.277491903,25,通风,低风,下
童年,男,夏装,低风,17.1,1.43,43.9,31.6,1.68,60.9,1.259750152,20.5,通风,低风,下
老年,男,冬装,中风,24.2,1.6,63.7,14.2,-3.37,99.9,1.019564331,22.5,暖气,大风,中
中年,女,冬装,中风,18.5,1.7,70.3,1.4,-6.59,100,0.974459443,24.5,暖气,大风,中
老年,男,夏装,中风,22.4,1.84,52.9,31.9,1.57,54.7,1.05091386,20.5,通风,低风,下
童年,男,夏装,无风,28.4,1.57,22.2,41.3,5.26,100,1.300203291,24,冷气,大风,中
中年,男,冬装,低风,22.3,1.64,66.7,8.8,-3.38,99.9,1.068642045,24,暖气,大风,中
少年,女,冬装,无风,25.1,1.53,49.6,8.1,-2.65,96.1,1.135578065,23,暖气,中风,上
老年,女,冬装,中风,15.1,1.74,73.1,9.7,-4.72,100,0.920464929,23.5,暖气,大风,中
青年,女,冬装,中风,28.7,1.54,65.1,7,-4.34,100,1.079400368,23.5,暖气,大风,中
老年,男,冬装,无风,29.1,1.82,52.8,6,-3.16,99.6,1.102159354,23,暖气,大风,中
中年,男,春秋装,低风,19.5,1.85,59.3,21.9,-1.52,51.8,1.075056851,26,暖气,低风,下
中年,男,夏装,无风,26.4,1.76,59.4,23.5,-0.7,15.3,1.118882574,无,无,无,无
青年,男,夏装,中风,17.8,1.65,16.2,46.2,10.23,100,1.142541543,18.5,冷气,大风,中
少年,女,春秋装,大风,25.7,1.54,64.2,16.2,-4.03,100,1.131930187,21.5,暖气,大风,中
童年,女,冬装,中风,23.3,1.58,64.5,8,-3.8,100,1.142475229,23.5,暖气,大风,中
青年,男,夏装,低风,17,1.71,26.2,48.7,10.45,100,1.13982197,18.5,冷气,大风,中
少年,女,冬装,大风,18.2,1.61,68.4,6.5,-4.58,100,1.122608657,23.5,暖气,大风,中
青年,女,春秋装,无风,23.2,1.69,56.2,18.4,-1.64,58.7,1.049848549,24,暖气,低风,下
童年,女,夏装,低风,26.3,1.57,59.7,23.9,-1.27,38.9,1.140666001,无,无,无,无
老年,女,春秋装,低风,15.3,1.61,54.8,20.1,-2.94,98.8,0.93831032,21.5,暖气,中风,上
少年,男,夏装,低风,32.8,1.69,26.8,47.5,9.01,100,1.291944148,18.5,冷气,大风,中
青年,男,春秋装,中风,32.6,1.78,64.5,21.1,-1.88,71.1,1.238454005,21.5,暖气,低风,下
少年,女,夏装,大风,24.2,1.63,43.3,32.8,2,77,1.110139096,20.5,通风,低风,下
童年,女,春秋装,大风,25.3,1.54,67.2,15.2,-4.31,100,1.150868708,21.5,暖气,大风,中
青年,男,夏装,无风,28.8,1.84,44.9,31.8,1.96,74.8,1.223959337,25.5,通风,低风,下
少年,男,冬装,大风,17.8,1.8,65.6,0,-5.72,100,1.221446413,24.5,暖气,大风,中
青年,女,夏装,低风,25.5,1.56,56,29,0.77,17.6,1.076259438,21.5,通风,低风,下
中年,男,夏装,无风,18.4,1.83,47.1,35.4,3.56,100,1.061807851,19.5,冷气,大风,中
童年,女,冬装,大风,15.4,1.64,61.3,7.3,-4.31,100,1.138488277,23.5,暖气,大风,中
童年,女,夏装,中风,34.2,1.64,34.9,37.8,5.26,100,1.113872351,19.5,冷气,大风,中
中年,男,冬装,低风,18.3,1.63,77.4,8,-3.71,100,1.030371429,24,暖气,大风,中
童年,男,春秋装,低风,22,1.44,62.3,19.9,-1.62,57.7,1.281415602,25,暖气,低风,下
童年,女,夏装,低风,31.5,1.49,18.9,46.2,8.82,100,1.155730878,18.5,冷气,大风,中
老年,男,夏装,低风,22.8,1.81,51.1,25.2,-1.02,27.1,1.049241856,无,无,无,无
童年,男,夏装,中风,17.4,1.58,51.6,26.8,-0.38,7.9,1.251583409,无,无,无,无
中年,女,春秋装,大风,33.4,1.61,66.2,18.8,-4.24,100,1.003247232,21.5,暖气,大风,中
少年,女,夏装,大风,23.2,1.54,43.7,28.1,-0.34,7.4,1.135420191,无,无,无,无
青年,女,冬装,中风,32.3,1.58,59.5,6.5,-4.53,100,1.069807748,23.5,暖气,大风,中
童年,男,夏装,中风,24.6,1.63,49.2,26.6,-0.42,8.6,1.283845917,无,无,无,无
老年,女,春秋装,中风,28.3,1.54,57.7,20.4,-3.32,99.9,0.971016966,21.5,暖气,大风,中
中年,男,夏装,大风,17.5,1.74,59.9,27.6,-0.71,15.5,1.039810405,无,无,无,无
青年,男,春秋装,无风,18.1,1.7,58.4,19.3,-1.44,47.8,1.147884383,无,无,无,无
青年,女,冬装,大风,21.8,1.56,62.3,8.5,-4.27,100,1.077854685,23.5,暖气,大风,中
青年,男,夏装,低风,22.1,1.84,63.2,23.5,-1.29,39.9,1.184963448,无,无,无,无
青年,男,夏装,低风,31,1.73,21.7,47.8,9.34,100,1.227837717,18.5,冷气,大风,中
青年,女,春秋装,大风,16.6,1.55,49.7,21.7,-2.62,95.6,1.083159248,21.5,暖气,中风,上
青年,女,冬装,中风,31,1.51,83.5,8.3,-3.93,100,1.085065047,23.5,暖气,大风,中
童年,男,春秋装,低风,32.5,1.64,57.9,18.6,-1.97,75.4,1.312497049,25,暖气,低风,下
童年,男,夏装,中风,28.3,1.52,58.1,32.8,2.33,89.1,1.301517561,20.5,冷气,低风,下
老年,男,春秋装,低风,29.5,1.81,72,21.5,-1.5,50.9,1.103320485,无,无,无,无
中年,男,夏装,无风,21.5,1.72,17.2,47.4,8.28,100,1.074385318,18.5,冷气,大风,中
中年,男,夏装,大风,23.1,1.83,42.2,30.5,0.28,6.7,1.103540846,无,无,无,无
中年,男,夏装,无风,27.7,1.79,13.4,49.6,8.91,100,1.132154274,18.5,冷气,大风,中
童年,女,夏装,无风,19.4,1.51,61.1,23.8,-0.51,10.4,1.171790576,无,无,无,无
童年,女,夏装,低风,22.5,1.46,23.7,42.1,6.67,100,1.182256658,18.5,冷气,大风,中
老年,女,夏装,无风,26.3,1.7,23.3,45.4,8.14,100,0.950586942,18.5,冷气,大风,中
中年,女,冬装,低风,28.1,1.59,67.6,3.3,-5.05,100,1.001760691,25.5,暖气,大风,中
少年,女,冬装,中风,27.1,1.62,65.7,2,-5.46,100,1.109663742,24.5,暖气,大风,中
童年,男,冬装,无风,22.1,1.55,52.2,2.2,-3.36,99.9,1.275908502,23.5,暖气,大风,中
中年,女,春秋装,低风,22.3,1.63,50.8,16.3,-3.53,100,0.990091621,26,暖气,大风,中
少年,女,夏装,低风,33.8,1.73,51.4,23.4,-1.71,62.5,1.082144216,21.5,暖气,低风,下
童年,女,冬装,无风,25.2,1.53,61.8,3.3,-3.5,100,1.15403467,23.5,暖气,大风,中
中年,女,春秋装,无风,21,1.65,70.6,15.9,-2.58,95,0.985481582,24,暖气,中风,上
青年,女,夏装,大风,25.4,1.7,46.5,28.5,-0.28,6.7,1.048158281,无,无,无,无
中年,女,夏装,无风,16.1,1.53,45.9,26.7,0.19,5.8,1.00104774,无,无,无,无
中年,女,冬装,低风,25.4,1.63,71.4,12.9,-3.28,99.8,0.993485851,25,暖气,大风,中
童年,女,冬装,低风,21.2,1.57,72.2,3.3,-4.29,100,1.148963219,24.5,暖气,大风,中
中年,女,春秋装,无风,28.2,1.51,65.3,19.6,-1.58,55.2,1.014406842,24.5,暖气,低风,下
老年,女,冬装,中风,24.1,1.73,67.3,6.6,-5.44,100,0.94357506,23.5,暖气,大风,中
老年,女,夏装,大风,17.3,1.64,52.5,27.4,-1.39,44.9,0.938839743,无,无,无,无
童年,女,夏装,低风,18.5,1.56,24.1,48.9,10.38,100,1.157192484,18.5,冷气,大风,中
童年,女,夏装,无风,25.3,1.54,54.2,26.8,0.43,8.8,1.150868708,无,无,无,无
少年,男,春秋装,低风,25.7,1.63,54.8,17,-2.24,86.4,1.263432001,24.5,暖气,低风,下
青年,女,冬装,无风,30.3,1.67,59.4,6.1,-3.29,99.8,1.0535525,23,暖气,大风,中
童年,男,冬装,中风,22.5,1.65,50.1,12.1,-3.04,99.3,1.274151322,22.5,暖气,大风,中
中年,女,夏装,大风,20.1,1.59,19.5,46.8,13.08,100,0.994037698,18.5,冷气,大风,中
少年,女,春秋装,无风,16.4,1.57,62.4,17.5,-1.68,60.8,1.137191701,23.5,暖气,低风,下
中年,女,夏装,低风,20.9,1.67,17.9,49.1,11.65,100,0.982385132,18.5,冷气,大风,中
中年,男,夏装,低风,20.4,1.81,15.3,49,10.74,100,1.077785118,18.5,冷气,大风,中
老年,男,夏装,无风,23,1.81,42.4,31.3,1.72,63,1.051061809,20.5,通风,低风,下
青年,男,夏装,无风,29.1,1.83,28.6,41.4,5.54,100,1.224865689,18.5,冷气,大风,中
老年,女,春秋装,中风,33.1,1.52,52.4,20.9,-3.06,99.3,0.979196442,21.5,暖气,大风,中
老年,女,春秋装,中风,15.2,1.64,50.6,20.3,-3.74,100,0.933719238,21.5,暖气,大风,中
青年,女,夏装,大风,20.9,1.68,42.1,31.5,0.94,23.6,1.051714961,20.5,通风,低风,下
中年,男,春秋装,中风,33.4,1.82,72,19.9,-2.51,93.7,1.171296291,21.5,暖气,中风,上
童年,男,夏装,大风,20.8,1.54,44.6,29.5,0.62,13.2,1.270495869,21.5,通风,低风,下
青年,女,春秋装,无风,17.3,1.56,60.2,20.5,-1.21,35.6,1.080109935,无,无,无,无
中年,男,春秋装,中风,23.2,1.75,51.7,20.7,-2.6,95.3,1.093078637,21.5,暖气,中风,上
少年,男,春秋装,低风,18,1.68,49.6,20.6,-1.62,57.2,1.223144442,25.5,暖气,低风,下
老年,女,夏装,中风,25.8,1.75,36.9,40.9,8.13,100,0.94516421,18.5,冷气,大风,中
中年,男,夏装,中风,22.3,1.79,40.5,32.8,2.06,79.3,1.091434488,20.5,冷气,低风,下
中年,女,夏装,中风,23.8,1.74,36.4,44.8,10.96,100,0.977123063,18.5,冷气,大风,中
少年,女,冬装,大风,19.1,1.56,55.6,12.7,-3.69,100,1.135773248,22.5,暖气,大风,中
老年,男,春秋装,无风,16.8,1.68,65,18.4,-1.97,75.4,0.960985544,24.5,暖气,低风,下
青年,男,冬装,低风,19.8,1.65,68.6,9.9,-2.79,97.7,1.157388646,24,暖气,中风,上
青年,男,春秋装,中风,15.6,1.72,60.1,20.2,-2.62,95.5,1.128752982,21.5,暖气,中风,上
少年,男,春秋装,低风,29.2,1.64,67.8,15.4,-2.61,95.4,1.278129379,24.5,暖气,中风,上
老年,女,夏装,无风,22.7,1.73,19.6,48.6,9.86,100,0.940661594,18.5,冷气,大风,中
老年,男,夏装,低风,20.1,1.61,40,36.3,4.25,100,0.982166208,19.5,冷气,大风,中
青年,男,夏装,大风,20.8,1.72,54.8,26.9,-0.8,18.6,1.168772912,无,无,无,无
童年,男,冬装,中风,15.6,1.51,60,9.8,-2.99,99.1,1.245819624,23.5,暖气,中风,上
少年,男,冬装,低风,25.3,1.61,52.5,12.3,-2.52,93.9,1.261693615,24,暖气,中风,上
童年,女,夏装,低风,23.3,1.63,43.5,39.6,5.88,100,1.128708029,19.5,冷气,大风,中
青年,女,夏装,无风,29.3,1.71,27.9,36.5,3.77,100,1.046796028,19.5,冷气,大风,中
童年,男,春秋装,大风,17,1.54,66.2,19.9,-2.66,96.1,1.251587383,21.5,暖气,中风,上
童年,女,冬装,中风,16.6,1.58,54.5,0.4,-5.62,100,1.154687751,24.5,暖气,大风,中
少年,男,夏装,中风,24.3,1.81,51.2,32.6,2.13,82.1,1.257739244,20.5,冷气,低风,下
童年,男,春秋装,中风,23.1,1.61,56,20,-2.21,85.1,1.278034786,21.5,暖气,低风,下
中年,女,冬装,大风,16.8,1.72,72.2,3.9,-6.35,100,0.968626713,24.5,暖气,大风,中
老年,男,冬装,大风,17.1,1.68,69.6,4.1,-6.34,100,0.964523975,24.5,暖气,大风,中
青年,男,春秋装,无风,30.5,1.75,49.6,19,-1.42,46.8,1.22672929,无,无,无,无
少年,男,冬装,低风,15.8,1.8,65.5,2.9,-4.14,100,1.208154494,24.5,暖气,大风,中
老年,女,夏装,中风,23,1.59,29.8,41.3,8.23,100,0.956758754,18.5,冷气,大风,中
中年,女,冬装,无风,25.3,1.61,56,12.9,-2.51,93.5,0.996286458,23.5,暖气,中风,上
童年,男,春秋装,大风,17.8,1.5,66.8,17.4,-3.05,99.3,1.258196125,21.5,暖气,大风,中
中年,男,夏装,大风,34.2,1.61,37.3,38,5.7,100,1.146070148,19.5,冷气,大风,中
老年,男,春秋装,中风,34.9,1.83,65,21.8,-1.9,72.3,1.141765628,21.5,暖气,低风,下
童年,男,春秋装,大风,18.1,1.61,63.7,18.2,-2.79,97.7,1.253937411,21.5,暖气,中风,上
中年,女,夏装,大风,33.6,1.72,43.3,37.8,6.08,100,0.990846746,19.5,冷气,大风,中
青年,女,冬装,低风,30.1,1.63,87.1,1.2,-5.2,100,1.060719622,25,暖气,大风,中
少年,男,夏装,中风,30.2,1.83,41.8,31.9,1.64,58.7,1.283956366,20.5,通风,低风,下
老年,男,夏装,低风,26.6,1.84,26.5,42.2,7.14,100,1.086728931,18.5,冷气,大风,中
童年,男,夏装,中风,20,1.56,43.2,37.5,4.89,100,1.265779184,19.5,冷气,大风,中
童年,男,夏装,低风,19.1,1.59,23,40.9,5.85,100,1.259987651,18.5,冷气,大风,中
老年,女,春秋装,低风,30.7,1.59,67,18.2,-2.93,98.8,0.968427516,26,暖气,中风,上
老年,男,冬装,无风,30,1.83,67.1,12.5,-2.21,85.2,1.110235307,23,暖气,低风,下
童年,女,冬装,无风,16.2,1.52,62,4.4,-3.23,99.7,1.175770857,23.5,暖气,大风,中
少年,男,夏装,大风,28.4,1.6,48.6,28.4,0.13,5.4,1.274895301,无,无,无,无
老年,女,冬装,大风,33.1,1.69,76.2,1.9,-7.02,100,0.962346651,24.5,暖气,大风,中
老年,男,冬装,大风,16.5,1.71,58.8,5.3,-6.01,100,0.963761595,23.5,暖气,大风,中
老年,男,春秋装,低风,20.9,1.75,67.4,16.1,-3.35,99.9,1.019879756,25.5,暖气,大风,中
老年,男,春秋装,中风,21.1,1.72,49.1,19.5,-3.45,99.9,1.01592777,21.5,暖气,大风,中
青年,男,夏装,中风,25.5,1.66,36.1,43.4,8.59,100,1.194505219,18.5,冷气,大风,中
青年,女,冬装,低风,29.3,1.59,59.5,0.3,-5.41,100,1.06860953,25.5,暖气,大风,中
童年,男,冬装,无风,26.9,1.6,71.1,0.4,-3.6,100,1.293822696,23,暖气,大风,中
老年,男,夏装,中风,30.4,1.68,30.5,35,3.39,99.9,1.085922445,19.5,冷气,大风,中
童年,男,夏装,中风,25.5,1.43,24.2,45.8,9.3,100,1.295769219,18.5,冷气,大风,中
童年,女,春秋装,低风,32.4,1.52,59.6,15.2,-3.16,99.6,1.145774121,24.5,暖气,大风,中
青年,女,春秋装,无风,19.8,1.57,55.5,18.9,-1.72,62.8,1.076341715,24.5,暖气,低风,下
童年,女,冬装,中风,16.7,1.61,56.9,2.5,-5.16,100,1.145116017,24.5,暖气,大风,中
少年,女,冬装,低风,20.3,1.54,67.1,5.8,-3.78,100,1.139873716,24,暖气,大风,中
青年,男,夏装,无风,20.8,1.61,59.8,33.7,2.91,98.6,1.161833368,20.5,冷气,中风,上
老年,女,冬装,大风,15.3,1.53,77.8,13.6,-4.39,100,0.951064671,22.5,暖气,大风,中
中年,男,春秋装,大风,24.8,1.68,73,18.5,-3.85,100,1.095145894,21.5,暖气,大风,中
青年,男,夏装,低风,24.2,1.82,56.2,33.6,2.79,97.7,1.197030869,20.5,冷气,中风,上
童年,女,春秋装,低风,25.6,1.63,70.9,19,-2.33,89.2,1.125648057,25.5,暖气,低风,下
老年,女,春秋装,大风,15.9,1.55,67.1,18,-4.42,100,0.948979504,21.5,暖气,大风,中
老年,男,冬装,中风,30.6,1.73,63.3,7.1,-4.24,100,1.09684257,23.5,暖气,大风,中
少年,男,冬装,大风,27.4,1.72,50,3.2,-4.74,100,1.271144336,24.5,暖气,大风,中
童年,女,夏装,无风,24.5,1.5,54.4,26.2,0.24,6.2,1.164650555,无,无,无,无
少年,男,春秋装,低风,27.2,1.84,52.7,17.4,-2.11,81.5,1.271564833,24.5,暖气,低风,下
童年,男,冬装,大风,25.8,1.59,73.6,5.6,-4.06,100,1.289860718,23.5,暖气,大风,中
少年,男,夏装,大风,22.1,1.83,40.1,37.2,4.98,100,1.246672995,19.5,冷气,大风,中
童年,女,夏装,无风,15,1.52,29,41.8,5.81,100,1.178779512,18.5,冷气,大风,中
中年,男,冬装,无风,15.5,1.67,56.5,13.3,-2.35,89.6,1.00754271,23.5,暖气,低风,下
青年,女,冬装,无风,23,1.59,48.6,11.1,-2.69,96.6,1.070432199,23.5,暖气,中风,上
童年,女,冬装,低风,16.8,1.53,72.2,8.8,-2.98,99,1.170847752,23.5,暖气,中风,上
童年,男,冬装,中风,27.5,1.6,61.8,7.8,-3.27,99.8,1.296079391,23.5,暖气,大风,中
青年,女,夏装,大风,33,1.59,49.8,39.8,7.54,100,1.067702476,19.5,冷气,大风,中
老年,女,夏装,大风,26.5,1.71,15.5,46.6,13.28,100,0.950023088,18.5,冷气,大风,中
中年,男,春秋装,无风,23.6,1.62,68,15.9,-2.23,86,1.076086106,23.5,暖气,低风,下
少年,男,春秋装,中风,27.6,1.72,69.2,16,-3.08,99.4,1.271997824,21.5,暖气,大风,中
老年,男,冬装,低风,19.7,1.79,77.4,3.7,-4.86,100,1.015354051,25,暖气,大风,中
童年,女,春秋装,无风,21.6,1.56,59.8,18.8,-1.57,54.8,1.151272078,24,暖气,低风,下
童年,女,春秋装,大风,31,1.5,63.3,19.6,-3.16,99.6,1.153550544,21.5,暖气,大风,中
老年,女,春秋装,中风,19.9,1.68,67.5,17.6,-4.21,100,0.939825915,21.5,暖气,大风,中
